ID,cluster,full_text,FAVORITE_C,QUOTE_C,REPLY_C,RETWEET_C,VIEWS_C
1685351511100944385,1,"@Kurt_roelandt @sthbracke @openvld -Omdat we hier goed samenwerken-Omdat we de boel hier wel op orde zetten en historische schulden van de socialisten stelselmatig wegwerken-En omdat we hier wel genoeg geld hebben om ons beleid te financieren, want onze AFM is op het einde van de planningsperiode ruim positief.",2,0,1,0,53.0
1684303085785563137,13,"@SvenDeSchutter Ik ging er 6 jaar geleden elke ochtend vroeg zwemmen toen ik er op werkbezoek was. Ik vond het even wennen om geen rechte baantjes te zwemmen, maar wel echt leuk :-)",1,0,0,0,1082.0
1682633157491712001,1,"Kinderen liefdevolle en zorgende ouders ontzeggen, enkel omdat beide ouders van hetzelfde geslacht zijn. Wie wordt daar beter van?",3,0,1,1,715.0
1671398141701095425,8,"Met degelijk parlementair grondwerk spit collega @SafaiDarya het Iraanse visumschandaal boven. De zware ernst ervan leidde intussen al tot het ontslag van een staatssecretaris. Ook de premier lijkt nu zelfs mee betrokken.En dan dit bericht? Bah. Ga u schamen, mijnheer Keuleneer https://t.co/yZz2qZLyks",354,4,61,56,40626.0
1667620524493623305,3,Weet je wat er finaal gebeurt wanneer de regering De Croo zo voortdoet? Dan zijn uw spaarcenten helemaal in gevaar…Econoom Gert Peersman vandaag in De Morgen. https://t.co/E4WSXhiqyF,212,3,45,44,14741.0
1667621306525790209,1,Uw spaarcenten staan dus eigenlijk garant voor de zotternijen van De Croo. Beangstigend gewoon.Ik maakte dezelfde analyse eerder ook al in @PALNWS:https://t.co/5x6kqO0teK,125,1,11,16,2834.0
1759310651057410149,1,“Met dit voorstel kiest Paul Magnette (PS) moedwillig voor de afbraak van onze welvaart”.,388,1,33,68,11355.0
1666925110903570433,1,@ancapoen Get a grip miss dramaqueen.,1,0,0,0,62.0
1665633940630040576,1,Als fervent crossfitter vind ik het geweldig dat de sport ook wat aandacht krijgt van @sporza. Ter info: naast Jelle Hoste heeft ook Manon Angonese zich dit weekend geplaatst voor de Crossfit Games.,2,1,0,0,327.0
1652785010494111744,5,JE HEBT GELIJK JASPER. HET LEGER NAAR EEN MILITAIR DOMEIN STUREN IS ECHT KNETTERGEK! 🙄,20,0,2,2,1316.0
1652776041721606145,12,N-VA vraagt minister @AnneliesVl om uitleg te komen geven in een extra com binnenlandse zaken over de preventieve informatiepositie van de veiligheidsdiensten en het beheer of beter het non-beheer van de situatie. ⁦@DeKamerBE⁩ https://t.co/Dnk1XI6cCX,95,0,24,18,10028.0
